category,name,image_url,page_url,articles_json,shun_array
vegitable,ターツァイ,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/tazai/tatuai05bs.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/tazai.htm,[],"[false, false, false, false, false, false, false, false, false, false, false, false]"
vegitable,白菜（ハクサイ）,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/hakusai/hakusai-mini01bs.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/hakusai.htm,"[{""title"":""■ハクサイ（白菜/はくさい）とは"",""sub_categories"":[{""title"":""●べか菜"",""contents"":[""　ハクサイはアブラナの一種で、チンゲンサイや山東菜など沢山のアブラナ属の仲間です。日本の食文化には欠かせない野菜で、その生産量も大根やキャベツに次ぐ量となっています。そんなハクサイですが、今の様な形のものが日本に定着したのは明治から大正にかけてとの事なので、比較的新しい野菜と言えます。"",""　キムチには欠かせない白菜ですが、日本でも白菜の浅漬けはお馴染みですね。そんな白菜ですが、調べてみると色々な種類があります。大きく分けると結球、半結球、不結球の３タイプがあります。"",""結球タイプ・・・普段よく見かけるいわゆる白菜です。"",""半結球タイプ・・・山東白菜や花心白菜などがあり、主に漬物にされているようです。"",""不結球タイプ・・・広島菜などがこれにあたります。ちなみに、中国野菜で“白菜”といえば「パクチョイ」と読み、チンゲンサイに似た野菜ですが、これもこの不結球タイプの白菜の部類になります。ただし、チンゲンサイ同様、小白菜の分類になります。また、近年見かける「しんとり菜」はこのパクチョイの一種から生まれたそうです。"",""長崎県で作られてきた半結球の白菜。"",""外見が一般的な白菜と同じですが、中の葉の色が一般的な物より濃く、オレンジ色から橙黄色で、その分栄養価も高い白菜。"",""関東でべか菜と呼ばれている若取りの白菜などもあります。""]},{""title"":""●白菜は大きく分けると３タイプ"",""contents"":[]},{""title"":""●長崎白菜"",""contents"":[]},{""title"":""●オレンジ白菜"",""contents"":[]},{""title"":""●べか菜"",""contents"":[]}]},{""title"":""■白菜の産地と生産量"",""sub_categories"":[{""title"":""●全国の生産量ランキング"",""contents"":[""ハクサイを沢山生産している所は茨城県と長野県で、その両県で全国の約半分を賄っている事になります。また、ハクサイは日本人にとってとても身近な野菜で、北海道から沖縄まで全国で栽培されていますが、生産量が少ない県は沖縄、そして香川県となっています。""]}]},{""title"":""■白菜が美味しい旬"",""sub_categories"":[{""title"":""●ハクサイの旬は冬。"",""contents"":[""白菜が最も美味しい季節は霜が降りる頃の晩秋から冬にかけて、丁度鍋が美味しくなる季節の１１月頃から２月頃になります。その頃、ハクサイはギュッと結球し、甘みを蓄えた、より美味しい物になります。"",""ただ、他の野菜同様、産地を変えながら通年出荷されてはいます。主な産地では、晩秋から年明けの茨城に始まり、その後春間でが兵庫など関西、そして夏は高原の長野となります。""]},{""title"":""●ハクサイの旬カレンダー"",""contents"":[]}]}]","[true, true, true, true, true, true, true, true, true, true, true, true]"
vegitable,シュンギク（春菊）,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/syungiku/syungiku-ooba09s.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/syungiku.htm,"[{""title"":""■春菊（シュンギク）又は菊菜（キクナ）とは"",""sub_categories"":[{""title"":""●シュンギクの旬は鍋の季節、冬"",""contents"":[""　シュンギクはキク科キク属の植物で、若い葉と茎を食用にします。漢字で「春菊/しゅんぎく」と書かれ、名前の通り、菊の一種です。一般的に菊の花は秋に咲くのに対し、春に花が咲く菊ということから「春菊/しゅんぎく」と呼ばれるようになったようです。関西など地方によっては「菊菜/きくな」とも呼ばれています。"",""　春菊にはいくつかの品種があり、地方によっても特色があったりします。西日本で多く見られる葉が広く切れ込みが浅いタイプのものや、関東に多い株が上に向かって伸びるタイプ、それに対し関西では株が横に張るタイプなどがあります。葉が広く切れ込みが浅いタイプは比較的苦味や香りが少なく、葉の切れ込みが深いものの方が香りや苦味は強い傾向にあります。"",""　一般的な春菊に比べ葉の切れ込みが小さく、厚みがあり、若い葉はアクが少ないので生のままサラダで食べることが出来ます。北九州ではこの大葉春菊の方が一般的なようです。更に葉が大きめのサラダ春菊と呼ばれているものもあります。"",""　シュンギクは鍋には欠かせない食材のひとつですが、近頃パスタや肉料理の付け合せなどにもよく使われるようになりました。しかし、一般的には西洋料理の食材としては新鮮味があるようです。"",""　シュンギクの主な産地は千葉県と大阪府、そして群馬県、茨城県となっています。"",""　通年手に入りますが、茎や葉が柔らかい旬は11月から2月にかけての冬になります。丁度鍋の季節ですね。冬の重要な葉野菜です。""]},{""title"":""●いくつかの品種があります"",""contents"":[]},{""title"":""●サラダでも美味しい大葉春菊"",""contents"":[]},{""title"":""●西洋料理にとっては新鮮味がある食材"",""contents"":[]},{""title"":""●シュンギクの主な産地と全国ランキング"",""contents"":[]},{""title"":""●シュンギクの旬は鍋の季節、冬"",""contents"":[]},{""title"":""●シュンギクの旬カレンダー"",""contents"":[]}]}]","[true, true, true, true, true, true, true, true, true, true, true, true]"
vegitable,寒玉キャベツ,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/kyabetu/Cabbage05bs.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/kyabetu.htm,"[{""title"":""■キャベツとは"",""sub_categories"":[{""title"":""●シュークリームの由来"",""contents"":[""　キャベツはブロッコリーやカリフラワーなどと同じアブラナ科アブラナ属の多年草で、その祖先はその薬用効果の大きさでしばしば話題になる「ケール」です。そして、このキャベツもその一部を引き継いでいます。中国から入ってきた呼び名も定着し、別名で甘藍（カンラン）ともいいます。"",""　一般的にはキャベツといえば結球するタイプを指しています。これまで様々な品種改良がなされ、今では食感、外見などが違う沢山の品種があり、季節によっても栽培される品種が変わります。一方、スプラウトとしても用いられています。"",""レッドキャベツのスプラウトはこちら　→"",""　キャベツが日本に入ってきたのは江戸時代頃とされていますが、当時はほとんど食用とはされず、本格的に食用として栽培されるようになったのは明治時代に入ってからです。とはいっても、当時はまだまだ一般的に普及していた訳ではなく、戦後になって洋食文化と共に一気に普及したようです。"",""　余談ですが、お菓子のシュークリームの由来は、このキャベツの「シュー」からきているんですよ。シュークリームはフランスで「シュー・ア・ラ・クレーム（chou \na la creme）」と言い直訳するとクリームが詰まったキャベツという意味になります。見た目がキャベツみたいでしょ？""]},{""title"":""●日本には江戸時代に"",""contents"":[]},{""title"":""●シュークリームの由来"",""contents"":[]}]},{""title"":""■キャベツの産地と旬の時期"",""sub_categories"":[{""title"":""●キャベツはほぼ周年　美味しい物が出回っています"",""contents"":[""　キャベツの主な産地は、政府がまとめた平成２３年産のデータで見ると、年間の生産量が最も多いのは群馬県で、次いで愛知県、そして千葉県や茨城県、神奈川県、長野県などが続きます。ちなみに、この前年は愛知県がトップで、次いで群馬県でした。"",""　キャベツは季節によって産地が変わり、夏から秋にかけては群馬県や長野県などの高原や北海道など冷涼な土地で栽培されたものが出回ります。"",""　本来は地中海沿岸の冬の産物なのですが、日本では春に収穫される品種に始まり、夏の高原で収穫されるもの、露地栽培で収穫されるものなどがあり、それぞれに特徴があるので、旬は品種ごとに違うと言うことになります。価格も手頃なので、非常に使い勝手がいい食材と言えます。"",""　11月頃から２月頃までが旬です。愛知県や千葉県など"",""　東は千葉県や神奈川、西は九州などで栽培されています"",""　群馬県の嬬恋などが有名ですね。長野県をはじめ北海道や東北でも作られています。"",""それぞれのキャベツの品種などは下段よりご覧ください。"",""　キャベツは品を替え産地を替えながらほぼ周年美味しい物が出回ります。強いてあげるなら、秋に夏物と冬物の切り替え時に品薄になる事がしばしばあります。"",""　それぞれのキャベツに特徴や旬があるので、うまく使い分けいつも美味しいキャベツを食べましょう。""]},{""title"":""●年に何度も旬がある！？"",""contents"":[]},{""title"":""●収穫は３シーズンあります。"",""contents"":[]},{""title"":""●キャベツはほぼ周年　美味しい物が出回っています"",""contents"":[]}]},{""title"":""キャベツの種類一覧"",""sub_categories"":[]}]","[true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, false, false, false, true, true, true, false, false, false, true, true, false, false, false, false, false, false, false, false, false, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, false, false, false, false, false, false, false, false, true, false, false, false, false, false, false, false, false, false, false, true, true, true, false, false, false, false, false, false, false, false, false, true, true]"
vegitable,チコリー（アンディーブ),https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/chicoli/chicory29s.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/chicoli.htm,"[{""title"":""■チコリー（アンディーブ）とは"",""sub_categories"":[{""title"":""●チコリー（アンディーブ）の主な産地"",""contents"":[""　チコリーはヨーロッパ原産の野菜で、元来苦味がきつい植物なのですが、日に当てないで白く栽培する事で美味しく食べられるようになった野菜です。食べるのはその芽の部分になります。"",""チコリーの仲間は非常に多く、リーフチコリーまたはサラダチコリーと呼ばれているもの、イタリアでラディッキオと呼ばれているものなども同じ仲間です。ここで紹介している先が尖ったキャンドルの炎の形をしたタイプはベルギーチコリーとも呼ばれています。白いものの他に赤いものもあります。"",""　フランス語と英語で名前が逆になっていて、とてもまぎらわしいんです。ここで取り上げているものはフランス語でアンディーブ（endive）＝英語でチコリー（chicory）です。一方サラダに使われる、ぎざぎざした葉の野菜はフランス語でシコレ又はチコリ（chicorée）＝英語でエンダイブ（endive）といいます。"",""エンダイブ（チコレ）はこちら"",""チコリー（アンディーブ）は歯ざわりがよく、かすかな甘味と少し苦味があり食欲をそそります。"",""ベルギーやオランダで盛んに栽培されており､輸入されています。日本でもまだまだ生産量は少ないですが北海道などで栽培されています。チコリー・レッドも最近では国産物が出回り始めています。""]},{""title"":""●チコリーとチコレ？どっちがどっち？？"",""contents"":[]},{""title"":""●少し苦味が特徴"",""contents"":[]},{""title"":""●チコリー（アンディーブ）の主な産地"",""contents"":[]}]},{""title"":""■チコリー（アンディーブ）が美味しい旬の時期"",""sub_categories"":[{""title"":""●チコリーの旬は冬"",""contents"":[""輸入物も多く、通年流通していますが、国産物の旬は12月から春先あたりまでの冬の間です。""]}]}]","[true, true, true, false, false, false, false, false, false, false, false, true, true, true, true, true, true, true, true, true, true, true, true, true]"
vegitable,芽キャベツ,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/kyabetu/mekyabetu2s.JPG,https://foodslink.jp/syokuzaihyakka/syun/vegitable/kyabetu.htm,"[{""title"":""■キャベツとは"",""sub_categories"":[{""title"":""●シュークリームの由来"",""contents"":[""　キャベツはブロッコリーやカリフラワーなどと同じアブラナ科アブラナ属の多年草で、その祖先はその薬用効果の大きさでしばしば話題になる「ケール」です。そして、このキャベツもその一部を引き継いでいます。中国から入ってきた呼び名も定着し、別名で甘藍（カンラン）ともいいます。"",""　一般的にはキャベツといえば結球するタイプを指しています。これまで様々な品種改良がなされ、今では食感、外見などが違う沢山の品種があり、季節によっても栽培される品種が変わります。一方、スプラウトとしても用いられています。"",""レッドキャベツのスプラウトはこちら　→"",""　キャベツが日本に入ってきたのは江戸時代頃とされていますが、当時はほとんど食用とはされず、本格的に食用として栽培されるようになったのは明治時代に入ってからです。とはいっても、当時はまだまだ一般的に普及していた訳ではなく、戦後になって洋食文化と共に一気に普及したようです。"",""　余談ですが、お菓子のシュークリームの由来は、このキャベツの「シュー」からきているんですよ。シュークリームはフランスで「シュー・ア・ラ・クレーム（chou \na la creme）」と言い直訳するとクリームが詰まったキャベツという意味になります。見た目がキャベツみたいでしょ？""]},{""title"":""●日本には江戸時代に"",""contents"":[]},{""title"":""●シュークリームの由来"",""contents"":[]}]},{""title"":""■キャベツの産地と旬の時期"",""sub_categories"":[{""title"":""●キャベツはほぼ周年　美味しい物が出回っています"",""contents"":[""　キャベツの主な産地は、政府がまとめた平成２３年産のデータで見ると、年間の生産量が最も多いのは群馬県で、次いで愛知県、そして千葉県や茨城県、神奈川県、長野県などが続きます。ちなみに、この前年は愛知県がトップで、次いで群馬県でした。"",""　キャベツは季節によって産地が変わり、夏から秋にかけては群馬県や長野県などの高原や北海道など冷涼な土地で栽培されたものが出回ります。"",""　本来は地中海沿岸の冬の産物なのですが、日本では春に収穫される品種に始まり、夏の高原で収穫されるもの、露地栽培で収穫されるものなどがあり、それぞれに特徴があるので、旬は品種ごとに違うと言うことになります。価格も手頃なので、非常に使い勝手がいい食材と言えます。"",""　11月頃から２月頃までが旬です。愛知県や千葉県など"",""　東は千葉県や神奈川、西は九州などで栽培されています"",""　群馬県の嬬恋などが有名ですね。長野県をはじめ北海道や東北でも作られています。"",""それぞれのキャベツの品種などは下段よりご覧ください。"",""　キャベツは品を替え産地を替えながらほぼ周年美味しい物が出回ります。強いてあげるなら、秋に夏物と冬物の切り替え時に品薄になる事がしばしばあります。"",""　それぞれのキャベツに特徴や旬があるので、うまく使い分けいつも美味しいキャベツを食べましょう。""]},{""title"":""●年に何度も旬がある！？"",""contents"":[]},{""title"":""●収穫は３シーズンあります。"",""contents"":[]},{""title"":""●キャベツはほぼ周年　美味しい物が出回っています"",""contents"":[]}]},{""title"":""キャベツの種類一覧"",""sub_categories"":[]}]","[true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, false, false, false, false, false, false, false, false, false, false, false, false, true, true, true, false, false, false, true, true, true, false, false, false, true, true, false, false, false, false, false, false, false, false, false, true, true, true, false, false, false, false, false, false, false, false, false, true, true, true, true, false, false, false, false, false, false, false, true, true, true, true, true, false, false, false, false, false, false, false, false, true, false, false, false, false, false, false, false, false, false, false, true, true, true, false, false, false, false, false, false, false, false, false, true, true]"
vegitable,菜の花,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/nanohana-page/nanohana38s.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/nanohana.htm,"[{""title"":""■菜の花（なばな）とは"",""sub_categories"":[{""title"":""●京都の花菜"",""contents"":[""菜の花（ナノハナ）は「なばな」や「花菜」とも呼ばれ、アブラナの花芽で、同じ仲間に菜種油を取る為の品"",""種もあります。また、ブロッコリーやカリフラワー、チンゲンサイ（タイサイ）やターツァイ、また、キャベツや白菜なども同じアブラナの仲間になります。"",""食用の　「菜の花」として店頭に並んでいるものの中には、実は様々なアブラナの品種があります。「菜の花」「菜花」「花菜」は、そうしたアブラナの花芽の総称として使われています。"",""右の表は平成２０年の全国の食用なばな類（主に花芽を食べるもの）の生産量と上位１０の地域です。"",""最も菜の花を沢山生産しているのは千葉県で南房総地域で作られています。次いで徳島県、香川県、高知県などの四国で多く作られています。"",""京都の「花菜」はブランド京野菜として知られ、主に長岡京市などで作られています。""]},{""title"":""●菜の花の主な産地と生産量ランキング"",""contents"":[]},{""title"":""●京都の花菜"",""contents"":[]}]},{""title"":""■菜の花（なばな）の旬の時期"",""sub_categories"":[{""title"":""●菜の花（なばな）の旬カレンダー"",""contents"":[""菜の花（ナノハナ）は本来２月頃から３月にかけての春が旬ですが、春一番の季節を運ぶ食材として料亭などの需要にあわせ、京野菜として知られる「寒咲花菜」の様に、１２月頃から出始めるものもあります。"",""各画像をクリックしていただければ各品種のページをご覧いただけます。""]},{""title"":""●菜の花（なばな）の旬カレンダー"",""contents"":[]}]}]","[false, false, true, true, true, true, true, true, true, true, true, true, false, false, false]"
vegitable,フキノトウ（蕗の薹）,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/fukinotou/fukinotou1s.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/fukinotou.htm,"[{""title"":""■フキノトウ／蕗の薹／ふきのとうとは"",""sub_categories"":[{""title"":""●春を告げるさわやかな苦味"",""contents"":[""フキノトウはキク科フキ属の多年草で日本原産の山菜で全国の山野に自生しています。ふきのとうはつぼみの部分にあたり、この花が咲いた後には地下茎から伸びる葉（ふき）が出てきます。春の季節を表現する、山菜として日本料理には欠かせない食材です。"",""　古くから食用に利用されてきており、独特な芳香と、苦味を、香辛料として使用したり、早春の食材として、てんぷら、和え物に、広く利用されています。""]},{""title"":""●春を告げるさわやかな苦味"",""contents"":[]}]},{""title"":""■フキノトウ／蕗の薹／ふきのとうの出回る旬の時期"",""sub_categories"":[{""title"":""●フキノトウは初春が旬"",""contents"":[""　フキノトウは春先にいっせいに芽を吹き出します。自生している天然物は、雪が解け始める頃に出てきます。なので、地方によって収穫できる時期がかなり違ってきます。毎年春を告げるニュースとして出始めるとツクシなどと共に、その地方地方の新聞で取り上げられることが多いですね。""]}]}]","[true, true, true, true, true, true, true, true, true, true, true, true, false, false, true, true, true, true, true, true, true, false, false, false]"
vegitable,ホウレン草,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/epinard/hourenso03s.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/epinard.htm,"[{""title"":""■ほうれん草（ホウレンソウ）とは"",""sub_categories"":[{""title"":""●寒締め（かんじめ）ほうれん草"",""contents"":[""ホウレンソウはアカザ科ほうれん草属の野菜で、原産地はペルシャ地方とされ、日本には江戸時代の初め頃に伝わったとされています。漢字だと「菠薐草」、「法蓮草」、「鳳蓮草」などいくつもあります。"",""ヨーロッパやアメリカなど世界的に各地で食用とされている野菜で、ポパイのホウレンソウの缶詰でも有名ですね。"",""普段あまり品種を気にすることは無いと思いますが、よく見ると微妙に違うものがあります。 "",""東洋種・・・葉の切れ込みが深くとがった形をしています。アクが少なく、お浸しにしてもおいしい。"",""西洋種・・・葉は切れ込みがなく丸みを帯びていて、少し厚みがある。あくが強くソテーなどして、魚肉料理の付け合せに向いています。"",""今市場に出回っているもののほとんどは、上記の交雑種で、両方のいいところを残しています。それでも、葉に切れ込みが少しあり東洋種に近いものと、ほとんど切れ込みがない西洋種に近いものとがあるようです。"",""寒じめちぢみほうれん草・・・　主に関東で冬だけに露地栽培されているものです。"",""サラダほうれん草・・・アクをより少なく改良し、生でもおいしく食べられるように改良されたものがいくつかあります。赤軸または赤茎のサラダホウレンソウもその１つで、いくつかの種苗会社から種が販売されています。"",""赤軸ほうれんそうの解説はこちら　→"",""それぞれ種類と写真はこちら　→"",""ホウレンソウを沢山作っているのは千葉県と埼玉県、それに群馬県、茨城県などです。この上位４県はいずれも関東で、この４県と神奈川県で全国の３分の１を生産しています。"",""ホウレンソウは全国で栽培され、様々な品種が地域を変えながら収穫され通年市場に出回っていますが、本来の旬は１１～１月の冬です。この時期は色も濃く、栄養分もまして甘味があります。"",""ホウレンソウがある程度成長するまではビニールなどをかけて栽培し収穫前に取り払って冷たい外気に晒す事でホウレンソウの糖度が上がり甘味を持つようになります。また、栄養成分もビタミン類やカロテンなどが増え、美味しく栄養価も高いホウレンソウになります。こうして収穫された物は寒締め（かんじめ）ほうれん草と呼ばれ、北関東や東北でよく行われています。""]},{""title"":""●ホウレンソウの品種は"",""contents"":[]},{""title"":""●ホウレンソウの産地と生産量ランキング"",""contents"":[]},{""title"":""●ほうれん草の旬は冬です"",""contents"":[]},{""title"":""●寒締め（かんじめ）ほうれん草"",""contents"":[]}]}]","[true, true, true, true, true, true, true, true, true, true, true, true]"
vegitable,コマツナ（小松菜）,https://img01.plus-server.net/www.foodslink.jp/syokuzaihyakka/syun/vegitable/komatuna/komatuna21bs.jpg,https://foodslink.jp/syokuzaihyakka/syun/vegitable/komatuna.htm,"[{""title"":""■コマツナ（小松菜／こまつな）とは"",""sub_categories"":[{""title"":""●小松菜（コマツナ）の主な産地と生産量ランキング"",""contents"":[""　小松菜（コマツナ）はチンゲンサイなどと同じアブラナ科アブラナ属の植物で、収穫せずにそのままにしておくととうが立ち、アブラナと同じ黄色い花を咲かせます。"",""　名前は東京の小松川（現在の江戸川区）に由来しているそうです。江戸時代、将軍に気に入られ、献上する際、土地の名前を冠したとか。また、当時から江戸庶民には親しまれていたようです。"",""　小松菜はそれぞれの地域で土着のものがあり、同じ品種もあればオリジナルのものもあるようですが、群馬の武州寒菜（ぶしゅうかんな）や新潟の大崎菜、関西では黒菜と呼ぶところもあるように、それぞれの地域での名前があるようです。"",""　また、品種改良も進み、ここ１０年ほどでずいぶんとスリムでスタイルの良いコマツナが市場を占めるようになってきました。また、冬にはホウレンソウのように「ちぢみ小松菜」と言うのも出回ります。"",""　また、ほうれん草と同じようにサラダでも食べられる柔らかい赤軸のものも出ています。"",""赤軸の紫小松菜のページ　→"",""ちぢみ小松菜のページ　→"",""　小松菜は古くから関東で作られてきた野菜と言う事もあり、今でも主に関東で作られています。"",""　右の表は農林水産省がまとめた平成２２年の全国のコマツナの生産量です。"",""　上位一位から５位までが関東が占め、それだけで全国の約半分を作っています。東京も２位となっていますね。""]},{""title"":""●全国に土着のものがあるようです。"",""contents"":[]},{""title"":""●小松菜（コマツナ）の主な産地と生産量ランキング"",""contents"":[]}]},{""title"":""■小松菜（コマツナ）の美味しい旬の時期"",""sub_categories"":[{""title"":""●小松菜の旬は冬です"",""contents"":[""　コマツナは今では各地でハウスなども含め通年出荷されていますが、本来寒い冬に採れる野菜だったので冬菜、雪菜などとも呼ばれています。また、初春に出回る若くて色が薄いものは鶯菜（うぐいすな）とも呼ばれています。"",""　  寒さに強く、一二度霜が降りた後のほうが甘みが増し、葉も柔らかくなって美味しくなります。"",""　普段ホウレン草をよく使っていると思いますが、ホウレン草よりアクが少なく、用途的には同じように使えるので、メニューにもどんどん取り入れてみてはいかがでしょうか。"",""　11月～３月にかけてが旬ですが、３月頃に出荷される鴬菜（うぐいすな）も非常に季節感が強く、見逃せません。""]},{""title"":""●コマツナの旬カレンダー"",""contents"":[]}]}]","[true, true, true, true, true, true, true, true, true, true, true, true]"
